Run	GEO_Accession (exp)
SRR11412220	GSM4432379
SRR11412225	GSM4432380
SRR11412244	GSM4432385
SRR11412247	GSM4432386
SRR11412251	GSM4432387
SRR11412260	GSM4432389
SRR11412261	GSM4432389
SRR11412265	GSM4432390
SRR11412268	GSM4432391
SRR11412272	GSM4432392
SRR11412279	GSM4432394
SRR11412283	GSM4432395
SRR11412289	GSM4432396
SRR11412216	GSM4432378
SRR11412221	GSM4432379
SRR11412227	GSM4432381
SRR11412228	GSM4432381
SRR11412230	GSM4432381
SRR11412231	GSM4432382
SRR11412237	GSM4432383
SRR11412239	GSM4432384
SRR11412242	GSM4432384
SRR11412248	GSM4432386
SRR11412249	GSM4432386
SRR11412252	GSM4432387
SRR11412253	GSM4432387
SRR11412255	GSM4432388
SRR11412256	GSM4432388
SRR11412258	GSM4432388
SRR11412263	GSM4432390
SRR11412264	GSM4432390
SRR11412271	GSM4432392
SRR11412275	GSM4432393
SRR11412276	GSM4432393
SRR11412280	GSM4432394
SRR11412282	GSM4432394
SRR11412287	GSM4432396
SRR11412288	GSM4432396
SRR11412294	GSM4432397
SRR11412217	GSM4432378
SRR11412224	GSM4432380
SRR11412233	GSM4432382
SRR11412235	GSM4432383
SRR11412243	GSM4432385
SRR11412254	GSM4432387
SRR11412273	GSM4432392
SRR11412219	GSM4432379
SRR11412229	GSM4432381
SRR11412245	GSM4432385
SRR11412250	GSM4432386
SRR11412259	GSM4432389
SRR11412267	GSM4432391
SRR11412270	GSM4432391
SRR11412246	GSM4432385
SRR11412232	GSM4432382
SRR11412277	GSM4432393
SRR11412234	GSM4432382
SRR11412236	GSM4432383
SRR11412238	GSM4432383
SRR11412241	GSM4432384
SRR11412257	GSM4432388
SRR11412274	GSM4432392
SRR11412278	GSM4432393
SRR11412285	GSM4432395
SRR11412293	GSM4432397
SRR11412269	GSM4432391
SRR11412291	GSM4432397
SRR11412218	GSM4432378
SRR11412292	GSM4432397
SRR11412284	GSM4432395
SRR11412226	GSM4432380
SRR11412290	GSM4432396
SRR11412266	GSM4432390
SRR11412281	GSM4432394
SRR11412240	GSM4432384
SRR11412215	GSM4432378
SRR11412222	GSM4432379
SRR11412262	GSM4432389
SRR11412223	GSM4432380
SRR11412286	GSM4432395
