Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	HTSeq Count_mqc-generalstats-htseq_count-percent_assigned	STAR_mqc-generalstats-star-uniquely_mapped	HTSeq Count_mqc-generalstats-htseq_count-assigned
GSM4432378	92.82	75.0484867395	15782083.0	13830498
GSM4432379	92.47	72.5043424213	15082383.0	12838552
GSM4432380	92.09	74.8981772087	22365422.0	19933866
GSM4432381	93.42	76.3733578302	14042524.0	12351020
GSM4432382	93.31	75.6967475439	14097525.0	12347848
GSM4432383	93.04	75.5392563933	41132346.0	35815584
GSM4432384	86.45	33.6996221173	23352220.0	11179975
GSM4432385	86.67	38.2563431152	12779939.0	6174174
GSM4432386	82.08	36.8079071021	9589999.0	4641116
GSM4432387	88.17	39.1046362586	30103016.0	14492807
GSM4432388	81.37	35.5456742402	24151502.0	11721956
GSM4432389	86.46	37.3656416932	17814073.0	8607541
GSM4432390	84.66	36.753251268	27156040.0	12898186
GSM4432391	84.11	36.205499346	22001230.0	10191322
GSM4432392	83.58	34.764613721	9386288.0	4414743
GSM4432393	84.97	34.2676282288	5455360.0	2576303
GSM4432394	79.92	23.2823096303	4429616.0	2123501
GSM4432395	82.39	38.0517301977	9148188.0	4327406
GSM4432396	71.49	40.5157530856	9592513.0	4530510
GSM4432397	52.68	18.3531493875	2351775.0	1090325
