Sample	ambiguous	percent_assigned	too_low_aQual	total_count	no_feature	alignment_not_unique	assigned	not_aligned
GSM4432378	630217	75.0484867395	0	18428750	1321368	2646667	13830498	0
GSM4432379	593231	72.5043424213	0	17707287	1650600	2624904	12838552	0
GSM4432380	818191	74.8981772087	0	26614621	1613365	4249199	19933866	0
GSM4432381	557335	76.3733578302	0	16171896	1134169	2129372	12351020	0
GSM4432382	563061	75.6967475439	0	16312257	1186616	2214732	12347848	0
GSM4432383	1635331	75.5392563933	0	47413207	3681431	6280861	35815584	0
GSM4432384	424484	33.6996221173	0	33175372	11747761	9823152	11179975	0
GSM4432385	238885	38.2563431152	0	16138955	6366880	3359016	6174174	0
GSM4432386	179267	36.8079071021	0	12609019	4769616	3019020	4641116	0
GSM4432387	555169	39.1046362586	0	37061608	15055040	6958592	14492807	0
GSM4432388	464755	35.5456742402	0	32977166	11964791	8825664	11721956	0
GSM4432389	327388	37.3656416932	0	23035978	8879144	5221905	8607541	0
GSM4432390	571515	36.753251268	0	35094000	13686339	7937960	12898186	0
GSM4432391	440311	36.205499346	0	28148547	11369597	6147317	10191322	0
GSM4432392	202844	34.764613721	0	12698956	4768701	3312668	4414743	0
GSM4432393	115751	34.2676282288	0	7518183	2763306	2062823	2576303	0
GSM4432394	83475	23.2823096303	0	9120663	2222640	4691047	2123501	0
GSM4432395	181186	38.0517301977	0	11372429	4639596	2224241	4327406	0
GSM4432396	159098	40.5157530856	0	11182095	4902905	1589582	4530510	0
GSM4432397	42255	18.3531493875	0	5940806	1219195	3589031	1090325	0
