Module	Section	Sample Name	Source
STAR	SummaryLog	GSM4432392	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432392_STAR/GSM4432392Log.final.out
STAR	SummaryLog	GSM4432381	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432381_STAR/GSM4432381Log.final.out
STAR	SummaryLog	GSM4432394	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432394_STAR/GSM4432394Log.final.out
STAR	SummaryLog	GSM4432380	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432380_STAR/GSM4432380Log.final.out
STAR	SummaryLog	GSM4432396	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432396_STAR/GSM4432396Log.final.out
STAR	SummaryLog	GSM4432386	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432386_STAR/GSM4432386Log.final.out
STAR	SummaryLog	GSM4432390	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432390_STAR/GSM4432390Log.final.out
STAR	SummaryLog	GSM4432378	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432378_STAR/GSM4432378Log.final.out
STAR	SummaryLog	GSM4432393	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432393_STAR/GSM4432393Log.final.out
STAR	SummaryLog	GSM4432383	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432383_STAR/GSM4432383Log.final.out
STAR	SummaryLog	GSM4432391	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432391_STAR/GSM4432391Log.final.out
STAR	SummaryLog	GSM4432385	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432385_STAR/GSM4432385Log.final.out
STAR	SummaryLog	GSM4432397	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432397_STAR/GSM4432397Log.final.out
STAR	SummaryLog	GSM4432387	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432387_STAR/GSM4432387Log.final.out
STAR	SummaryLog	GSM4432395	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432395_STAR/GSM4432395Log.final.out
STAR	SummaryLog	GSM4432389	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432389_STAR/GSM4432389Log.final.out
STAR	SummaryLog	GSM4432388	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432388_STAR/GSM4432388Log.final.out
STAR	SummaryLog	GSM4432379	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432379_STAR/GSM4432379Log.final.out
STAR	SummaryLog	GSM4432382	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432382_STAR/GSM4432382Log.final.out
STAR	SummaryLog	GSM4432384	/athena/elementolab/scratch/akv3001/COVID_19/COV2_RNASeq_sinai/RNASeq_Processed/BAMS_Raw_Fastq/GSM4432384_STAR/GSM4432384Log.final.out
