Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
GSM4432378	92.82	5904022.0	42475.0	1.81	1.47	1.45	130.18	0.01	0.32	130.0	2291.0	0.0	5856813.0	15782083.0	4887.0	0	0.0	17003573.0	3411	0.0	0.02	5.68	965923.0	2443.0	247269	0.03
GSM4432379	92.47	5143638.0	38208.0	1.83	1.53	1.8	126.89	0.01	0.27	127.0	2040.0	0.0	5101062.0	15082383.0	5758.0	0	0.0	16311121.0	4878	0.0	0.03	5.67	925396.0	2328.0	292706	0.04
GSM4432380	92.09	7475190.0	56089.0	1.77	1.5	1.74	119.36	0.01	0.26	120.0	2926.0	0.0	7413468.0	22365422.0	9673.0	0	0.0	24286949.0	7298	0.0	0.03	6.1	1481247.0	2707.0	423309	0.04
GSM4432381	93.42	5490713.0	41109.0	1.88	1.53	1.43	134.36	0.01	0.28	135.0	2106.0	0.0	5445235.0	14042524.0	4352.0	0	0.0	15032096.0	3014	0.0	0.02	5.1	766714.0	2263.0	215492	0.03
GSM4432382	93.31	5335929.0	38919.0	1.85	1.5	1.25	132.91	0.01	0.26	133.0	1990.0	0.0	5292768.0	14097525.0	4318.0	0	0.0	15108090.0	3030	0.0	0.02	5.39	813821.0	2252.0	189396	0.03
GSM4432383	93.04	15670272.0	118556.0	1.86	1.47	1.51	131.3	0.01	0.28	132.0	5818.0	0.0	15539405.0	41132346.0	13592.0	0	0.0	44210735.0	8864	0.0	0.02	5.4	2386738.0	6493.0	669195	0.03
GSM4432384	86.45	11586611.0	91415.0	1.55	1.56	5.53	144.26	0.01	0.32	145.0	5349.0	0.0	11483983.0	23352220.0	5924.0	0	0.0	27013945.0	18931	0.01	0.07	7.93	2141336.0	5864.0	1495534	0.02
GSM4432385	86.67	6504567.0	51993.0	1.55	1.57	7.27	144.29	0.01	0.32	145.0	3005.0	0.0	6446227.0	12779939.0	2556.0	0	0.0	14744844.0	8846	0.01	0.06	5.98	881603.0	3342.0	1071900	0.02
GSM4432386	82.08	4976909.0	40892.0	1.52	1.6	11.35	144.87	0.01	0.32	146.0	2140.0	0.0	4931401.0	9589999.0	2103.0	0	0.0	11683707.0	33888	0.01	0.29	6.26	731401.0	2476.0	1326316	0.02
GSM4432387	88.17	15052489.0	115447.0	1.53	1.54	5.75	145.05	0.01	0.31	145.0	7014.0	0.0	14922588.0	30103016.0	5503.0	0	0.0	34141057.0	75134	0.01	0.22	5.84	1993669.0	7440.0	1963735	0.02
GSM4432388	81.37	12311349.0	97896.0	1.58	1.55	11.38	142.52	0.01	0.31	143.0	5643.0	0.0	12201605.0	24151502.0	6532.0	0	0.0	29681064.0	106829	0.01	0.36	6.87	2039221.0	6205.0	3376980	0.02
GSM4432389	86.46	9198628.0	73769.0	1.52	1.58	7.16	145.32	0.01	0.32	146.0	4338.0	0.0	9115846.0	17814073.0	3476.0	0	0.0	20603153.0	20618	0.01	0.1	6.25	1288703.0	4675.0	1476283	0.02
GSM4432390	84.66	10070625.0	81337.0	1.64	1.54	8.02	143.63	0.01	0.33	144.0	4013.0	0.0	9980349.0	27156040.0	10212.0	0	0.0	32077632.0	173410	0.01	0.54	6.74	2162507.0	4926.0	2575463	0.03
GSM4432391	84.11	8124380.0	64203.0	1.63	1.56	9.38	145.69	0.01	0.33	146.0	3366.0	0.0	8052527.0	22001230.0	7452.0	0	0.0	26156240.0	18309	0.01	0.07	6.41	1675872.0	4284.0	2453377	0.03
GSM4432392	83.58	3172627.0	24817.0	1.96	1.52	8.6	142.72	0.01	0.34	143.0	1484.0	0.0	3144610.0	9386288.0	4244.0	0	0.0	11230884.0	43811	0.01	0.39	7.39	830447.0	1716.0	966094	0.04
GSM4432393	84.97	2114195.0	17227.0	1.73	1.55	7.13	141.82	0.01	0.33	142.0	845.0	0.0	2095105.0	5455360.0	2216.0	0	0.0	6420293.0	8343	0.01	0.13	7.74	496813.0	1018.0	457561	0.03
GSM4432394	79.92	2199481.0	18054.0	1.6	1.58	4.58	145.74	0.01	0.25	145.0	1157.0	0.0	2179189.0	4429616.0	1665.0	0	0.0	5542901.0	50474	0.01	0.91	14.56	807111.0	1081.0	254035	0.03
GSM4432395	82.39	4533578.0	37702.0	1.63	1.61	6.23	144.39	0.01	0.26	139.0	2586.0	0.0	4490951.0	9148188.0	2418.0	0	0.0	11103039.0	634077	0.01	5.71	5.64	626534.0	2339.0	691822	0.02
GSM4432396	71.49	4680578.0	37830.0	1.99	1.44	21.3	139.48	0.01	0.2	138.0	2813.0	0.0	4638221.0	9592513.0	2815.0	0	0.0	13418279.0	363642	0.01	2.71	4.48	601160.0	1714.0	2858149	0.02
GSM4432397	52.68	1045837.0	6771.0	2.03	1.52	25.58	133.25	0.01	0.27	129.0	559.0	0.0	1038121.0	2351775.0	1559.0	0	0.0	4464185.0	375390	0.01	8.41	13.3	593668.0	386.0	1141793	0.03
